country,founded,id,industry,linkedin_url,locality,name,region,size,website
lebanon,"",hamdan-law-firm,legal services,linkedin.com/company/hamdan-law-firm,beirut,hamdan law firm,beyrouth,11-50,ahmadhamdanlawfirm.com
lebanon,2010,united-machinery-trading-&-services---umts-s-a-l,machinery,linkedin.com/company/united-machinery-trading-&-services---umts-s-a-l,beirut,united machinery trading & services - umts s.a.l,beyrouth,51-200,umtslb.com
lebanon,2007,xenia-developers,program development,linkedin.com/company/xenia-developers,beirut,xenia developers,beyrouth,51-200,xeniadevelopers.com
lebanon,1999,moore-stephens-tabbal,financial services,linkedin.com/company/moore-stephens-tabbal,achrafie,moore stephens tabbal,beyrouth,11-50,moorestephens-me.com
lebanon,"",electro-media-international,marketing and advertising,linkedin.com/company/electro-media-international,"",electro media international,"",1-10,electromedia-intl.com
lebanon,2018,capitalgates,real estate,linkedin.com/company/capitalgates,jnah,capital gates,mohafazat mont-liban,1-10,capitalgates.net
lebanon,1960,amira-industries-inc,oil & energy,linkedin.com/company/amira-industries-inc,beirut,amira industries inc.,beyrouth,51-200,amira-industries.com
lebanon,"",hca-creative-agency,internet,linkedin.com/company/hca-creative-agency,beirut,hca creative agency,beyrouth,11-50,hca-me.com
lebanon,2017,axis-m.e,marketing and advertising,linkedin.com/company/axis-m.e,beirut,axis.middle.east,beyrouth,1-10,axisme.com
lebanon,2015,toters-delivery,information technology and services,linkedin.com/company/toters-delivery,beirut,toters delivery,beyrouth,51-200,totersapp.com
lebanon,2020,thepublicsource,online media,linkedin.com/company/thepublicsource,beirut,the public source | مصدر عام,beyrouth,11-50,thepublicsource.org
lebanon,2012,geospatialminds-holding-sal,information technology and services,linkedin.com/company/geospatialminds-holding-sal,"",geospatialminds holding sal,"",11-50,geospatialminds.com
lebanon,"",cubex-treatment,renewables & environment,linkedin.com/company/cubex-treatment,sin el fil,cubex sal,mohafazat mont-liban,1-10,""
lebanon,2014,sanda-tk,international trade and development,linkedin.com/company/sanda-tk,"",sanda tk,"",1-10,sanda-tk.com
lebanon,2009,grapes-technologies,computer software,linkedin.com/company/grapes-technologies,beirut,grapes technologies,beyrouth,1-10,grapestech.com
lebanon,2013,dbayeh-medical-clinic-dmc,medical practice,linkedin.com/company/dbayeh-medical-clinic-dmc,"",dmc - dbayeh medical clinic,"",11-50,dbayehmedical.com
lebanon,1959,raphael-associes-lawfirm,law practice,linkedin.com/company/raphael-associes-lawfirm,beirut,raphaël & associés,beyrouth,11-50,raphaelassocies.com
lebanon,1982,matrixbs,computer software,linkedin.com/company/matrixbs,beirut,matrix business software,beyrouth,1-10,matrixbs.me
lebanon,2000,sarah's-bag,retail,linkedin.com/company/sarah's-bag,beirut,sarah's bag,beyrouth,11-50,sarahsbag.com
lebanon,2014,ethio-levant,investment management,linkedin.com/company/ethio-levant,beirut,ethio levant,beyrouth,1-10,ethiolevant.com
lebanon,2020,livemun,civic & social organization,linkedin.com/company/livemun,beirut,livemun,beyrouth,1-10,livemun.com
lebanon,1999,libc,civic & social organization,linkedin.com/company/libc,beirut,lebanese international business council (libc),beyrouth,11-50,libc.net
lebanon,1973,allied-diesel-sal,machinery,linkedin.com/company/allied-diesel-sal,"",allied diesel sal,"",11-50,allieddiesel.com
lebanon,2012,urbanista-urban-eat-s-a-l-,restaurants,linkedin.com/company/urbanista-urban-eat-s-a-l-,beirut,urbanista (urban eat s.a.l),beyrouth,51-200,weare-urbanista.com
lebanon,"",logicom-middle-east-lebanon-sal,information technology and services,linkedin.com/company/logicom-middle-east-lebanon-sal,beirut,logicom middle east lebanon sal,beyrouth,1-10,logicom-me.net
lebanon,2014,natasawak,publishing,linkedin.com/company/natasawak,beirut,anaqa news,beyrouth,1-10,anaqanews.com
lebanon,1998,regional-press-network-rpn-,information services,linkedin.com/company/regional-press-network-rpn-,beirut,regional press network (rpn),beyrouth,11-50,rpnnews.com
lebanon,2017,joelle-tannous-translation-office,translation and localization,linkedin.com/company/joelle-tannous-translation-office,jounieh,joelle tannous translation office,mont-liban,1-10,""
lebanon,1999,ferlink,import and export,linkedin.com/company/ferlink,beirut,ferlink s.a.l. (off-shore),beyrouth,11-50,ferlink.com
lebanon,1994,inthrahospitality,hospitality,linkedin.com/company/inthrahospitality,badaro,inthra hospitality,beyrouth,11-50,inthra.com
lebanon,1857,chateau-ksara,wine and spirits,linkedin.com/company/chateau-ksara,ksara,chateau ksara,liban-sud,51-200,chateauksara.com
lebanon,2018,am-lebanon-services,facilities services,linkedin.com/company/am-lebanon-services,beirut,am lebanon - services,beyrouth,1-10,amlebanon.com
lebanon,2014,thirteen-cube,design,linkedin.com/company/thirteen-cube,bayrut,thirteen cube,beyrouth,1-10,thirteencube.com
lebanon,2005,select-agency-middle-east,events services,linkedin.com/company/select-agency-middle-east,beirut,select agency middle east,beyrouth,1001-5000,select-agency.com
lebanon,"",saveur-plus-catering,"",linkedin.com/company/saveur-plus-catering,"",saveur plus catering,"",11-50,saveurplus.com
lebanon,1982,mirodec,design,linkedin.com/company/mirodec,beirut,mirodec,beyrouth,201-500,mirodec.com
lebanon,2007,ba-united-holding,real estate,linkedin.com/company/ba-united-holding,beirut,ba united holding,beyrouth,501-1000,baunitedholding.com
lebanon,2014,lawand-architects,architecture & planning,linkedin.com/company/lawand-architects,beirut,lawand architects,beyrouth,1-10,lawandarchitects.com
lebanon,"",cerebrosoft,information technology and services,linkedin.com/company/cerebrosoft,"",cerebrosoft,"",1-10,cerebrosoft.net
lebanon,"",chamseddine-&-associates,law practice,linkedin.com/company/chamseddine-&-associates,beirut,chamseddine & associates,beyrouth,1-10,chamseddinelaw.com
lebanon,1995,ideasarl,architecture & planning,linkedin.com/company/ideasarl,beirut,idea consultants,beyrouth,11-50,ideacon.com
lebanon,"",hilights-lighting-design-and-solutions,design,linkedin.com/company/hilights-lighting-design-and-solutions,beirut,hilights | lighting design and solutions,beyrouth,11-50,hilights.net
lebanon,1995,quantech-sal,information technology and services,linkedin.com/company/quantech-sal,beirut,quantech sal,beyrouth,51-200,""
lebanon,"",doriane-copar,plastics,linkedin.com/company/doriane-copar,"",doriane-copar,"",11-50,""
lebanon,2014,ashghalcom-sarl-,facilities services,linkedin.com/company/ashghalcom-sarl-,beirut,ashghalcom sarl.,beyrouth,11-50,ashghalcom.com
lebanon,2017,akila-solutions,information technology and services,linkedin.com/company/akila-solutions,hamra,akila solutions,beyrouth,1-10,akilasolutions.com
lebanon,2014,sonbola-group-for-education-and-development,education management,linkedin.com/company/sonbola-group-for-education-and-development,beirut,sonbola group for education and development,beyrouth,11-50,sonbola-ngo.com
lebanon,2016,social-media-tec,marketing and advertising,linkedin.com/company/social-media-tec,beirut,social media tec,beyrouth,1-10,socialmediatec.com
lebanon,"",saudi-arabian-insurance-company-s-a-l,insurance,linkedin.com/company/saudi-arabian-insurance-company-s-a-l,hamra,saudi arabian insurance company s.a.l.,beyrouth,11-50,""
lebanon,"",myceleum,information technology and services,linkedin.com/company/myceleum,beirut,myceleum,beyrouth,1-10,myceleum.com
lebanon,1991,european-tobacco-limited,tobacco,linkedin.com/company/european-tobacco-limited,"",european tobacco limited,"",51-200,europeantobacco.net
lebanon,2016,petriotics,consumer goods,linkedin.com/company/petriotics,beirut,petriotics,beyrouth,1-10,petriotics.com
lebanon,"",cadres-consulting-engineers,civil engineering,linkedin.com/company/cadres-consulting-engineers,"",cadres consulting engineers,"",1-10,cadres-lb.com
lebanon,"",oriental-care,cosmetics,linkedin.com/company/oriental-care,baabda,oriental care,mohafazat mont-liban,1-10,ocessences.com
lebanon,2011,seeds-intl,construction,linkedin.com/company/seeds-intl,"",seeds international,"",11-50,seeds-intl.com
lebanon,"",emkan-for-microfinance,"",linkedin.com/company/emkan-for-microfinance,"",emkan for microfinance,"",11-50,emkanfinance.com
lebanon,2011,misr-offshore,oil & energy,linkedin.com/company/misr-offshore,tripoli,misr offshore,liban-nord,11-50,misr-recruitment.com
lebanon,2012,beirut-circle-s-a-l,entertainment,linkedin.com/company/beirut-circle-s-a-l,beirut,beirut circle s.a.l,beyrouth,11-50,beirutcircle.com
lebanon,2011,reed-developments-sal,real estate,linkedin.com/company/reed-developments-sal,beirut,reed developments sal,beyrouth,1-10,reed.com.lb
lebanon,2014,sami-makarem-foundation,non-profit organization management,linkedin.com/company/sami-makarem-foundation,"",sami makarem foundation,"",11-50,samimakarem.org
