country,founded,id,industry,linkedin_url,locality,name,region,size,website
ivory coast,2011,proline-logistics-ci,logistics and supply chain,linkedin.com/company/proline-logistics-ci,"",proline logistics,abidjan,201-500,prolinelogistic.com
ivory coast,2011,afriworkers,information technology and services,linkedin.com/company/afriworkers,"",afriworkers community,lagunes,1-10,afriworkers.net
ivory coast,2015,rsc-technology-cote-d-ivoire,information technology and services,linkedin.com/company/rsc-technology-cote-d-ivoire,"",rsc technology cote d'ivoire,abidjan,1-10,rsc-technology.net
ivory coast,2012,comenergy-ci-sarl,telecommunications,linkedin.com/company/comenergy-ci-sarl,abidjan,comenergy ci sarl,abidjan,11-50,comenergy.com.ci
ivory coast,1972,agence-de-medecine-preventive,non-profit organization management,linkedin.com/company/agence-de-medecine-preventive,"",agence de médecine préventive (amp),abidjan,11-50,amp-vaccinology.org
ivory coast,2019,start-up-webmedia,public relations and communications,linkedin.com/company/start-up-webmedia,"",start'up média,abidjan,1-10,""
ivory coast,2015,solutions-logistcs-sarl,logistics and supply chain,linkedin.com/company/solutions-logistcs-sarl,abidjan,solutions logistcs sarl,lagunes,1-10,""
ivory coast,1938,ldf-groupe-librairie-de-france-groupe,retail,linkedin.com/company/ldf-groupe-librairie-de-france-groupe,"",ldf groupe (librairie de france groupe),abidjan,501-1000,librairiedefrance.net
ivory coast,"",smartic-ci,information technology and services,linkedin.com/company/smartic-ci,cocody,smartic,lagunes,11-50,smartic.ci
ivory coast,2006,bridgebank-group-ci,banking,linkedin.com/company/bridgebank-group-ci,abidjan,bridge bank group côte d'ivoire,abidjan,51-200,bridgebankgroup.com
ivory coast,"",dps-afrik,industrial automation,linkedin.com/company/dps-afrik,abidjan,dps afrique,abidjan,11-50,dpsafrique.com
ivory coast,2011,virtuose-marketing&technologies,marketing and advertising,linkedin.com/company/virtuose-marketing&technologies,abidjan,virtuose mt,abidjan,1-10,virtuose-mt.com
ivory coast,2005,snpc-ci,chemicals,linkedin.com/company/snpc-ci,"",société nouvelle de produits chimiques,abidjan,201-500,snpc-ci.com
ivory coast,"",etudesci,internet,linkedin.com/company/etudesci,"",etudes.ci,abidjan,11-50,etudes.ci
ivory coast,"",tractafric-motors-côte-d-ivoire,automotive,linkedin.com/company/tractafric-motors-côte-d-ivoire,"",tractafric motors côte d'ivoire,abidjan,201-500,tractafrictmc-ci.com
ivory coast,2019,pro-du-web-digital,marketing and advertising,linkedin.com/company/pro-du-web-digital,abidjan,pro du web digital,abidjan,1-10,""
ivory coast,2016,paraclet,information technology and services,linkedin.com/company/paraclet,djibi,paraclet,lagunes,1-10,paraclet-ci.com
ivory coast,2009,institut-supérieur-de-commerce-et-de-management,education management,linkedin.com/company/institut-supérieur-de-commerce-et-de-management,cocody,institut supérieur de commerce et de management (iscm),lagunes,1-10,iscmci.org
ivory coast,2016,yesgreenearth,environmental services,linkedin.com/company/yesgreenearth,abidjan,yesgreenearth,abidjan,51-200,yesgreenearth.org
ivory coast,2007,kori-transport,oil & energy,linkedin.com/company/kori-transport,"",kori transport,abidjan,51-200,koritransport.com
ivory coast,1991,lagune-transit-abidjan,import and export,linkedin.com/company/lagune-transit-abidjan,abidjan,lagune transit abidjan,abidjan,201-500,lta.ci
ivory coast,2008,a2k-immobilier,real estate,linkedin.com/company/a2k-immobilier,abidjan,a2k immobilier,abidjan,1-10,a2kimmobilier.ci
ivory coast,2006,globalchallengeci,professional training & coaching,linkedin.com/company/globalchallengeci,abidjan,global challenge corporation-ci,abidjan,1-10,globalchallenge-ci.com
ivory coast,"",groupe-intermedio,management consulting,linkedin.com/company/groupe-intermedio,abidjan,intermedio,abidjan,1-10,mediomarket.ci
ivory coast,2013,otransport-sa,transportation/trucking/railroad,linkedin.com/company/otransport-sa,abidjan,"otransport sa, entreprise de logistique et de transport",abidjan,11-50,otransport.ci
