country,founded,id,industry,linkedin_url,locality,name,region,size,website
trinidad and tobago,2012,vanguards-of-enterprise-limited,defense & space,linkedin.com/company/vanguards-of-enterprise-limited,arouca,vanguards of enterprise limited,tunapuna/piarco,1-10,vanguardsofenterprise.co
trinidad and tobago,1982,pccl-ltd,construction,linkedin.com/company/pccl-ltd,"",pccl ltd,"",11-50,pccltt.com
trinidad and tobago,"",paratech-limited,commercial real estate,linkedin.com/company/paratech-limited,"",paratech limited,"",11-50,""
trinidad and tobago,1992,tobagorha,hospital & health care,linkedin.com/company/tobagorha,scarborough,tobago regional health authority,tobago,1001-5000,trha.co.tt
trinidad and tobago,"",ttstockex,capital markets,linkedin.com/company/ttstockex,port of spain,the trinidad and tobago stock exchange limited,city of port of spain,11-50,stockex.co.tt
trinidad and tobago,"",universal-communications,"",linkedin.com/company/universal-communications,"",universal communications,"",11-50,uc3.com
trinidad and tobago,2005,konstraal,civil engineering,linkedin.com/company/konstraal,port of spain,konstraal consulting limited,city of port of spain,11-50,konstraal.com
trinidad and tobago,"",freeport-medical-centre,medical practice,linkedin.com/company/freeport-medical-centre,freeport,freeport medical centre,couva-tabaquite-talparo,11-50,freeportmedtt.com
trinidad and tobago,2016,ganash-auto-supplies-services-co-ltd,automotive,linkedin.com/company/ganash-auto-supplies-services-co-ltd,gasparillo,ganash auto supplies & services co. ltd.,couva-tabaquite-talparo,1-10,""
trinidad and tobago,2006,cp-enterprise,information technology and services,linkedin.com/company/cp-enterprise,"",cp enterprise,"",1-10,cpe-tt.com
trinidad and tobago,1945,stechers,luxury goods & jewelry,linkedin.com/company/stechers,piarco,stechers limited,tunapuna/piarco,51-200,stecherslimited.com
trinidad and tobago,2005,caribbean-court-of-justice,judiciary,linkedin.com/company/caribbean-court-of-justice,"",caribbean court of justice,"",51-200,caribbeancourtofjustice.org
trinidad and tobago,"",farahsoft-solutions,information technology and services,linkedin.com/company/farahsoft-solutions,"",farahsoft solutions,"",1-10,farahsoft.com
trinidad and tobago,2001,valcom-emi-limited,oil & energy,linkedin.com/company/valcom-emi-limited,couva,valcom emi limited,couva-tabaquite-talparo,11-50,valcomemi.com
