country,founded,id,industry,linkedin_url,locality,name,region,size,website
armenia,2019,bressly,marketing and advertising,linkedin.com/company/bressly,yerevan,bressly,yerevan,1-10,bressly.com
armenia,1995,princess-maneh-tours-ltd-armenia,"leisure, travel & tourism",linkedin.com/company/princess-maneh-tours-ltd-armenia,"",princess maneh tours ltd,yerevan,11-50,seearmenia.net
armenia,2016,suaf-media,information technology and services,linkedin.com/company/suaf-media,"",suaf media,yerevan,1-10,""
armenia,2018,inmotion-armenia-youth-ngo,non-profit organization management,linkedin.com/company/inmotion-armenia-youth-ngo,yerevan,""inmotion armenia"​ youth ngo",yerevan,1-10,""
armenia,"",thefuturelab,research,linkedin.com/company/thefuturelab,yerevan,future lab,yerevan,1-10,""
armenia,2008,fuller-center-for-housing-armenia,non-profit organization management,linkedin.com/company/fuller-center-for-housing-armenia,"",fuller center for housing armenia,yerevan,11-50,fcharmenia.org
armenia,2015,impact-solutions-consulting-company,professional training & coaching,linkedin.com/company/impact-solutions-consulting-company,yerevan,impact solutions consulting company,yerevan,1-10,impact-s.com
armenia,2016,focusoftllc,information technology and services,linkedin.com/company/focusoftllc,yerevan,focusoft llc,yerevan,11-50,focusoft.org
armenia,2016,xamlab,computer software,linkedin.com/company/xamlab,yerevan,xamlab,yerevan,1-10,xamlab.com
armenia,2016,ghost-services-llc,information technology and services,linkedin.com/company/ghost-services-llc,gyumri,ghost services llc,shirak,11-50,ghost-services.com
armenia,2013,10x-engineering,industrial automation,linkedin.com/company/10x-engineering,yerevan,10x engineering,yerevan,11-50,10x.am
armenia,2005,armenian-state-symphony-orchestra,music,linkedin.com/company/armenian-state-symphony-orchestra,yerevan,armenian state symphony orchestra,yerevan,51-200,armsymphony.am
armenia,1996,bridge-of-hope,civic & social organization,linkedin.com/company/bridge-of-hope,"",bridge of hope ngo,yerevan,201-500,bridgeofhope.am
armenia,2015,voznisoft,information technology and services,linkedin.com/company/voznisoft,yerevan,voznisoft,yerevan,1-10,voznisoft.com
armenia,1991,ciapi,information technology and services,linkedin.com/company/ciapi,"",ciapi,"",1-10,ciapi.com.ar
armenia,2009,voyage-armenia,"leisure, travel & tourism",linkedin.com/company/voyage-armenia,yerevan,voyage armenia,yerevan,11-50,voyagearmenia.com
armenia,2017,develex-international-ltd,computer software,linkedin.com/company/develex-international-ltd,yerevan,develex international ltd,yerevan,1-10,develex.software
armenia,2017,trails-for-change-ngo,non-profit organization management,linkedin.com/company/trails-for-change-ngo,"",trails for change ngo,yerevan,1-10,trailsforchangengo.org
armenia,"",euroterm-cjsc,food production,linkedin.com/company/euroterm-cjsc,yerevan,euroterm cjsc,yerevan,11-50,noyan.am
armenia,2015,htexpress,package/freight delivery,linkedin.com/company/htexpress,"",htexpress,yerevan,1-10,""
armenia,2016,triangle-llc,industrial automation,linkedin.com/company/triangle-llc,yerevan,triangle llc,yerevan,11-50,triangle.am
armenia,2012,cascade-hotel-yerevan,hospitality,linkedin.com/company/cascade-hotel-yerevan,yerevan,cascade hotel yerevan,yerevan,1-10,cascadehotel.am
armenia,"",yeranitravel,"leisure, travel & tourism",linkedin.com/company/yeranitravel,"",yerani travel,yerevan,11-50,yeranitravel.com
armenia,2011,future-in-our-hands,"",linkedin.com/company/future-in-our-hands,yerevan,future in our hands armenia,yerevan,1-10,fioh-ngo.com
armenia,2014,fidem-llc,information technology and services,linkedin.com/company/fidem-llc,yerevan,fidem llc,yerevan,11-50,fidem.am
armenia,2016,gamblebeast,gambling & casinos,linkedin.com/company/gamblebeast,yerevan,gamble beast,yerevan,201-500,gamblebeast.com
armenia,1996,sas-group-armenia,retail,linkedin.com/company/sas-group-armenia,"",sas group armenia,yerevan,501-1000,sasgroup.am
armenia,2002,profal,building materials,linkedin.com/company/profal,aj'ap'nyak,profal,yerevan,201-500,profal.am
armenia,2008,emili-aregak-center,individual & family services,linkedin.com/company/emili-aregak-center,gyumri,emili aregak center,shirak,11-50,""
armenia,2017,gat-soft-llc,information technology and services,linkedin.com/company/gat-soft-llc,yerevan,gat soft llc,yerevan,11-50,gatsoft.am
armenia,2010,ekeng-cjsc,information technology and services,linkedin.com/company/ekeng-cjsc,"",ekeng cjsc,yerevan,51-200,ekeng.am
armenia,2008,yccdngo,non-profit organization management,linkedin.com/company/yccdngo,dilijan,youth cooperation center of dilijan,tavush,1-10,yccd.am
armenia,"",gmg-media-group,international trade and development,linkedin.com/company/gmg-media-group,yerevan,gmg media group,yerevan,11-50,newpage.am
armenia,1996,armenian-society-of-anaesthesiologists-and-intensive-care-specialists,medical practice,linkedin.com/company/armenian-society-of-anaesthesiologists-and-intensive-care-specialists,yerevan,armenian society of anaesthesiologists and intensive care specialists,yerevan,51-200,armanest.am
armenia,2016,startuparmeniafund,information technology and services,linkedin.com/company/startuparmeniafund,yerevan,startup armenia,yerevan,11-50,startuparmenia.am
