country,founded,id,industry,linkedin_url,locality,name,region,size,website
cameroon,1998,broadrangeconsulting,management consulting,linkedin.com/company/broadrangeconsulting,douala,broad range consulting,littoral,11-50,brconsulting-cm.com
cameroon,"",clinicare-provider-services-limited,hospital & health care,linkedin.com/company/clinicare-provider-services-limited,"",clinicare provider services limited,centre,1-10,""
cameroon,"",three-peaks-capital-ltd,"",linkedin.com/company/three-peaks-capital-ltd,"",three peaks capital ltd,centre,1-10,""
cameroon,"",gec-informatique,computer software,linkedin.com/company/gec-informatique,yaoundé,gec-informatique sarl,centre,1-10,gec-informatique.com
cameroon,2015,afrique-empowerment,professional training & coaching,linkedin.com/company/afrique-empowerment,douala,afrique empowerment,littoral,1-10,af-empowerment.org
cameroon,"",gslp-financial-ltd.,financial services,linkedin.com/company/gslp-financial-ltd.,"",gslp financial ltd.,centre,1-10,""
cameroon,2018,kpmo-sarl,maritime,linkedin.com/company/kpmo-sarl,kribi,kpmo sarl,sud,501-1000,kpmo.cm
cameroon,"",cheryls-corporation,supermarkets,linkedin.com/company/cheryls-corporation,douala,cheryls corporation,littoral,1-10,cherylscorporation.com
cameroon,2019,kaylang-group,professional training & coaching,linkedin.com/company/kaylang-group,"",kaylang group,littoral,1-10,kaylang-group.com
cameroon,1994,paness-conseil,professional training & coaching,linkedin.com/company/paness-conseil,douala,paness conseil | votre accelérateur de compétences,littoral,51-200,""
cameroon,"",le-grenier-sa-microfinance,banking,linkedin.com/company/le-grenier-sa-microfinance,akwa,le grenier sa microfinance,sud-ouest,51-200,legrenier-sa.com
cameroon,"",standards-safer-operations,aviation & aerospace,linkedin.com/company/standards-safer-operations,"",standards safer operations,"",11-50,standards.cm
cameroon,1994,cameroon-airports-company---a-roports-du-cameroun,transportation/trucking/railroad,linkedin.com/company/cameroon-airports-company---a-roports-du-cameroun,"",cameroon airports company - aéroports du cameroun,"",501-1000,adcsa.cm
cameroon,1985,fayadort-s-a,consumer goods,linkedin.com/company/fayadort-s-a,douala,fayadort  s.a.,littoral,201-500,fayadort.com
cameroon,2011,clinique-veritas,"health, wellness and fitness",linkedin.com/company/clinique-veritas,douala,clinique veritas,littoral,1-10,cliniqueveritas.com
cameroon,2014,gold-bullion-corporate,mining & metals,linkedin.com/company/gold-bullion-corporate,douala,gold bullion corporate,littoral,201-500,goldbullioncorporate.com
cameroon,2014,lucie-distribution,transportation/trucking/railroad,linkedin.com/company/lucie-distribution,douala,lucie distribution sarl,littoral,51-200,lucie-distribution.com
cameroon,"",cameroun-breuvages-sa,shipbuilding,linkedin.com/company/cameroun-breuvages-sa,"",cameroun breuvages sa,"",1-10,""
cameroon,2015,p-spaces-sarl,real estate,linkedin.com/company/p-spaces-sarl,douala,p.spaces sarl,littoral,1-10,p-spaces.com
cameroon,"",mupeci,banking,linkedin.com/company/mupeci,"",mupeci,"",10001+,mupeci.net
cameroon,2008,the-esb-group-llc,management consulting,linkedin.com/company/the-esb-group-llc,"",the esb group llc,"",1-10,theesbgroupllc.com
cameroon,"",english-lacrosse-association-limited,sports,linkedin.com/company/english-lacrosse-association-limited,"",english lacrosse association limited,centre,11-50,englishlacrosse.co.uk
cameroon,2012,blue-pearl-hotel-bamenda,hospitality,linkedin.com/company/blue-pearl-hotel-bamenda,bamenda,"blue pearl hotel, bamenda",nord-ouest,11-50,bluepearlhotelbamenda.com
cameroon,2011,rainbow-sports-investments,sports,linkedin.com/company/rainbow-sports-investments,"",rainbow sports investments,"",1-10,""
cameroon,2009,neptune-oil-sa,oil & energy,linkedin.com/company/neptune-oil-sa,douala,neptune oil sa cameroun,littoral,51-200,neptuneoilgroup.com
cameroon,"",china-national-machinery-co.-ltd,"",linkedin.com/company/china-national-machinery-co.-ltd,"","china national machinery co., ltd",centre,1-10,""
cameroon,2015,lightech-sarl,information technology and services,linkedin.com/company/lightech-sarl,yaoundé,lightech sarl,centre,1-10,lightech.fr
cameroon,"",chocolaterie-confiserie-camerounaise-s-a-,food production,linkedin.com/company/chocolaterie-confiserie-camerounaise-s-a-,douala,chocolaterie confiserie camerounaise s.a.,littoral,11-50,""
cameroon,2017,bloosat,telecommunications,linkedin.com/company/bloosat,yaoundé,bloosatofficiel,centre,11-50,""
cameroon,2004,aqua-cargo-and-freight-ltd,logistics and supply chain,linkedin.com/company/aqua-cargo-and-freight-ltd,douala,aqua cargo and freight ltd,littoral,11-50,aquacargokamerun.com
cameroon,"",phoenix-electronic-cigarettes-limited,"",linkedin.com/company/phoenix-electronic-cigarettes-limited,"",phoenix electronic cigarettes limited,centre,11-50,""
