country,founded,id,industry,linkedin_url,locality,name,region,size,website
iran,"",tolue-aryan-co,information technology and services,linkedin.com/company/tolue-aryan-co,"",tolue aryan hooshmand co,tehrān,11-50,aryan-co.ir
iran,"",baharbazar,marketing and advertising,linkedin.com/company/baharbazar,tehran,baharbazar بهاربازار,tehrān,11-50,baharbazar.com
iran,"",hemmatplast,"",linkedin.com/company/hemmatplast,"",hemmatplast,"",1-10,hemmatplastco.com
iran,1952,bank-saderat-iran,banking,linkedin.com/company/bank-saderat-iran,tehran,bank saderat iran,tehrān,10001+,bsi.ir
iran,2005,vitco-vira-idea-trade-co.,medical devices,linkedin.com/company/vitco-vira-idea-trade-co.,"",vitco / vira idea trade co.,"",1-10,vitcomed.com
iran,2010,samaneh-gostar-borna,computer networking,linkedin.com/company/samaneh-gostar-borna,"",samaneh gostar borna,tehrān,11-50,samanehgostar.com
iran,"",sepehrpad,"",linkedin.com/company/sepehrpad,"",sepehrpad,"",1-10,sepehrpad.com
iran,2003,rvmco,automotive,linkedin.com/company/rvmco,jadid,rvmco,fars,201-500,rvmco.ir
iran,"",payabtarh,architecture & planning,linkedin.com/company/payabtarh,tehran,payabtarh co. مهندسین مشاور پایاب طرح,tehrān,51-200,payabtarh.com
iran,"",octa-accelerator,venture capital & private equity,linkedin.com/company/octa-accelerator,tehran,octa accelerator,tehrān,11-50,""
iran,"",methodcompany,medical devices,linkedin.com/company/methodcompany,tehran,method co.,tehrān,1001-5000,method-co.com
iran,2003,kppid,packaging and containers,linkedin.com/company/kppid,kermanshah,kermanshah printing & packaging industries development co,kermānshāh,201-500,kppid.com
iran,2016,کاریار,management consulting,linkedin.com/company/کاریار,tehran,kar-yar,tehrān,11-50,kar-yar.ir
iran,2018,dastmozdkargar,e-learning,linkedin.com/company/dastmozdkargar,`abbasabad,"",mazandaran,1-10,dastmozdkargar.ir
iran,2015,kar118,human resources,linkedin.com/company/kar118,tehran,kar118 - کار118,tehrān,11-50,kar118.com
iran,1949,pmoiran,maritime,linkedin.com/company/pmoiran,tehran,ports & maritime organization of iran,tehrān,1001-5000,pmo.ir
iran,2019,nikboom,real estate,linkedin.com/company/nikboom,tehran,nikboom,tehrān,11-50,nikboom.com
iran,2012,namvaran-upstream,oil & energy,linkedin.com/company/namvaran-upstream,tehran,namvaran upstream,tehrān,11-50,namvaranup.com
iran,2016,rekab,automotive,linkedin.com/company/rekab,tehran,rekab,tehrān,51-200,rekab.ir
iran,2006,adiban-institute-of-higher-education,information technology and services,linkedin.com/company/adiban-institute-of-higher-education,garmsar,adiban institute of higher education,semnan,51-200,adiban.ac.ir
iran,2008,ghasrtalaee,hospitality,linkedin.com/company/ghasrtalaee,razavi,ghasr talaee international hotel,khorasan-e razavi,501-1000,""
iran,2017,parto-energy,renewables & environment,linkedin.com/company/parto-energy,tehran,parto energy iranian,tehrān,11-50,partoenergy.ir
iran,2017,darlin,business supplies and equipment,linkedin.com/company/darlin,isfahan,sheykh,isfahan,1-10,""
