country,founded,id,industry,linkedin_url,locality,name,region,size,website
hong kong,"",c&co-global-limited,"",linkedin.com/company/c&co-global-limited,"",c&co. global limited,"",1-10,cncoglobal.com
hong kong,1999,venture-studios-hong-kong,photography,linkedin.com/company/venture-studios-hong-kong,central,venture studios hong kong,central and western district,11-50,""
hong kong,"",asia-textile-inspection,textiles,linkedin.com/company/asia-textile-inspection,kowloon,asia textile inspection,kowloon city,501-1000,atihongkong.com
hong kong,"",famosa-international-limited,import and export,linkedin.com/company/famosa-international-limited,kowloon,famosa international limited,kowloon city,11-50,""
hong kong,"",armstrong-watson-msi,accounting,linkedin.com/company/armstrong-watson-msi,hong kong,armstrong watson msi,central and western,201-500,armstrongwatsonmsi.com
hong kong,"",unihz-international-ltd,civil engineering,linkedin.com/company/unihz-international-ltd,"",unihz international ltd,"",1-10,""
hong kong,"",asia-alternatives-advisor-hong-kong-limited,venture capital & private equity,linkedin.com/company/asia-alternatives-advisor-hong-kong-limited,central district,asia alternatives advisor hong kong limited,"",1-10,""
hong kong,1997,steve-leung-designers-ltd,design,linkedin.com/company/steve-leung-designers-ltd,kowloon,steve leung designers ltd,kowloon city,501-1000,steveleung.com
hong kong,2006,purevpn,information technology and services,linkedin.com/company/purevpn,hong kong,purevpn,central and western,201-500,purevpn.com
hong kong,2015,collectivestudio,architecture & planning,linkedin.com/company/collectivestudio,hong kong,collective,central and western,11-50,collective-studio.co
hong kong,"",nelux-hk-international-ltd,"",linkedin.com/company/nelux-hk-international-ltd,hong kong,"nelux hk international,ltd",central and western,1-10,""
hong kong,2016,garibaldi-watch-co,luxury goods & jewelry,linkedin.com/company/garibaldi-watch-co,hong kong,garibaldi watch co.,central and western,1-10,garibaldiwatches.com
hong kong,2017,hkptrc,"",linkedin.com/company/hkptrc,hong kong,hong kong program trading research center (hkptrc),central and western,11-50,hkptrc.com
hong kong,"",teamsoffice,information services,linkedin.com/company/teamsoffice,"",teamsoffice,"",1-10,teamsoffice.com
hong kong,2018,squaredigitalhk,marketing and advertising,linkedin.com/company/squaredigitalhk,hong kong,square digital,central and western,1-10,squaredigital.hk
hong kong,2016,empathy-corner-limited,professional training & coaching,linkedin.com/company/empathy-corner-limited,hong kong,empathy corner limited,central and western,1-10,empathycorner.com
hong kong,"",stars-exchange,financial services,linkedin.com/company/stars-exchange,kowloon,stars exchange,kowloon city,11-50,""
hong kong,2007,naeo-aroma,consumer goods,linkedin.com/company/naeo-aroma,kowloon,naeo aroma,kowloon city,11-50,naeo-aroma.com
hong kong,2016,sani-pacific,import and export,linkedin.com/company/sani-pacific,hong kong,sani pacific,central and western,11-50,velocitystudio.asia
hong kong,1997,fusion-consulting-services-limited,information technology and services,linkedin.com/company/fusion-consulting-services-limited,hong kong,fusion consulting services limited,central and western,1-10,fusion-consulting.com.hk
hong kong,2016,eascotel,telecommunications,linkedin.com/company/eascotel,kowloon,easco telecommunications limited,kowloon city,11-50,eascotel.com
hong kong,1993,genting-hong-kong-limited,"leisure, travel & tourism",linkedin.com/company/genting-hong-kong-limited,kowloon,genting hong kong limited,kowloon city,5001-10000,gentinghk.com
hong kong,2011,alco-engineering-limited,oil & energy,linkedin.com/company/alco-engineering-limited,mongkok,alco engineering limited,yau tsim mong,11-50,alcoeig.com
